id,dish_name_hebrew,ingredients,gross_yield_per_person,gross_yield_per_gn1_1,preparation_method,notes
1,מלפפון,,,,"לחתוך פרוסות דקות או חצאי עיגולים, להגיש טרי",
2,עגבניות,,,,"לחתוך קוביות בינוניות, להגיש טרי",
3,עגבניות שרי,,,,"לחצות לחצאים, להגיש בקערה",
4,חסה לאליק,,,,"לשטוף ולייבש, לקרוע ביד לפיסות בינוניות",
5,חסה רגילה,,,,"לשטוף היטב, לחתוך רצועות גסות, לייבש",
6,גזר חתוך,,,,"לקלף, לחתוך למקלות או פרוסות דקות",
7,פלפלים צבעוניים,,,,לחתוך לרצועות דקות או קוביות בינוניות,
8,צנונית (צנון אדום),,,,"לחתוך לפרוסות דקות, ניתן עם קליפה",
9,שומר (פנקל),,,,"לחתוך דק מאוד, להגיש קר עם מעט לימון (אופציונלי)",
10,סלק חי,,,,"לגרר גס או לחתוך דק מאוד, להגיש נא",
11,כרוב לבן,,,,לחתוך דק מאוד בסכין או מנדולינה,
12,כרוב אדום,,,,"לחתוך דק, להגיש כמו שהוא או עם לימון",
13,קולורבי,,,,"לקלף, לחתוך למקלות דקים או קוביות קטנות",
14,מלפפון חמוץ,,,,"לחתוך פרוסות, להגיש כתוספת",
15,גזר מגורד,,,,לגרר גס ולהגיש כבסיס לסלט,
16,בצל סגול,,,,לחתוך לטבעות דקות או חצאי טבעות,
17,בצל ירוק,,,,לחתוך דק את החלק הירוק והלבן,
18,נבטים (נבטי חמנייה/אלפלפה),,,,"להגיש שלם, שטוף",
19,פטרוזיליה קצוצה,,,,"לקצוץ דק, להגיש ליד שאר המרכיבים",
20,נענע טרייה,,,,"לקרוע ידנית או להשאיר שלם, להוסיף רעננות",
